currency	price	address	location	title	web	area	ambs	price_area_ratio
U$S	89000	Aguirre  200	Villa Crespo, Capital Federal	Ph En Venta En Vila Crespo A Refaccionar	https://inmueble.mercadolibre.com.ar/MLA-1362402535-ph-en-venta-en-vila-crespo-a-refaccionar-_JM#position=11&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	57	4	1561
U$S	87000	Thames 100. Entre Muñecas Y Valentin Virasoro	Villa Crespo, Capital Federal	Ph  5 Amb Entrada Independiente Para Reciclar	https://inmueble.mercadolibre.com.ar/MLA-1214141250-ph-5-amb-entrada-independiente-para-reciclar-_JM#position=5&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	90	5	966
U$S	86500	Aráoz 400	Villa Crespo, Capital Federal	Venta Ph 3 Ambientes Con 2 Terraza - Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1124931243-venta-ph-3-ambientes-con-2-terraza-villa-crespo-_JM#position=13&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	44	3	1965
U$S	84900	Vera  1300	Villa Crespo, Capital Federal	Ph Al Frente 4 Ambientes 2 Baños	https://inmueble.mercadolibre.com.ar/MLA-883831335-ph-al-frente-4-ambientes-2-banos-_JM#position=4&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	80	4	1061
U$S	82000	Humboldt Y Martinez Rosas -  Ph 4 Amb Con Terraza Propia Y Posibilidad De Construir	Villa Crespo, Capital Federal	Humboldt Y Martinez Rosas -  Ph 4 Amb Con Terraza Propia Y Posibilidad De Construir	https://inmueble.mercadolibre.com.ar/MLA-1332169087-humboldt-y-martinez-rosas-ph-4-amb-con-terraza-propia-y-posibilidad-de-construir-_JM#position=19&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	58	4	1413
U$S	82000	Raúl Scalabrini Ortiz 500	Villa Crespo, Capital Federal	Venta  Ph Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1282698564-venta-ph-villa-crespo-_JM#position=28&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	40	3	2050
U$S	82000	Humboldt Y Martinez Rosas -  Ph  3 Amb + Escriot Con Terraza Propia	Villa Crespo, Capital Federal	Humboldt Y Martinez Rosas -  Ph 3 Amb   Escrit Con Terraza Propia	https://inmueble.mercadolibre.com.ar/MLA-1332149680-humboldt-y-martinez-rosas-ph-3-amb-escrit-con-terraza-propia-_JM#position=10&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	58	3	1413
U$S	79999	Charlone Al 900	Chacarita, Capital Federal	Ph  2 Amb - Altillo - Sin Expensas - A Reciclar - Chacarita	https://inmueble.mercadolibre.com.ar/MLA-1255239840-ph-2-amb-altillo-sin-expensas-a-reciclar-chacarita-_JM#position=17&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	47	3	1702
U$S	79500	Darwin Al 300. Entre Padilla Y Murillo	Villa Crespo, Capital Federal	Venta!! 3 Amb Al Frente, Todo Externo Y Luminoso!!	https://inmueble.mercadolibre.com.ar/MLA-1160174517-venta-3-amb-al-frente-todo-externo-y-luminoso-_JM#position=31&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	52	3	1528
U$S	79000	14 De Julio  1286. Entre Giribone Y Alvarez Thomas	Avda., Villa Ortúzar	Ph En Venta En Villa Ortuzar	https://inmueble.mercadolibre.com.ar/MLA-1152334991-ph-en-venta-en-villa-ortuzar-_JM#position=18&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	45	3	1755
U$S	79000	Rojas 1300	Villa Crespo, Capital Federal	Venta De Ph En Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1144600571-venta-de-ph-en-villa-crespo-_JM#position=3&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	54	3	1462
