currency	price	address	location	web	area	ambs	price_area_ratio
U$S	95000	Luis Viale 200	Villa Crespo, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-1204246303-deptotipo-casa-de-5-ambientes-en-venta-en-villa-crespo-_JM#position=36&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	80	5	1187
U$S	95000	Aguirre 1100	Villa Crespo, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-1344997592-ph-patio-baulera-en-depto-impecable-aguirre-al-1100-villa-crespo-_JM#position=34&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	65	3	1461
U$S	95000	Andres Lamas 2637. Entre Biarritz Y Carrzanza	Paternal, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-833285430-ph-3amb-contrafrente-2-pisos-lamas-2600-_JM#position=27&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	86	3	1104
U$S	95000	General Manuel A. Rodríguez 2700	Paternal, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-1367083364-ph-5-ambientes-venta-paternal-oportunidad-_JM#position=25&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	85	5	1117
U$S	95000	Roseti  400	Chacarita, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-1215069900-ph-de-3-amb-con-patio-en-exc-ubicacion-_JM#position=24&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	64	3	1484
U$S	95000	Roseti Al 400	Chacarita, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-1133156932-ph-roseti-y-jorge-newbery-_JM#position=22&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	60	3	1583
U$S	94999	Maure 3700	Chacarita, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-1314884422-venta-ph-chacaritacolegiales-3-amb-_JM#position=38&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	77	3	1233
U$S	94000	Cucha Cucha   2600	Paternal, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-1230546106-permuta-oferta-ph-4amb-entrada-privada-sin-expensas-_JM#position=9&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	80	4	1175
U$S	93000	Cucha Cucha 2300	Paternal, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-1342683601-venta-ph-3-ambientes-con-hermosa-terraza-propia-paternal-oportunidad-_JM#position=33&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	50	3	1860
U$S	93000	Cucha Cucha   2600	Villa Crespo, Capital Federal	https://inmueble.mercadolibre.com.ar/MLA-1230822551-permuta-oferta-ph-4amb-entrada-privada-sin-expensas-_JM#position=12&search_layout=grid&type=item&tracking_id=720b6f01-31ec-4668-b3f3-32d8fa9b5a39	100	4	930
