currency	price	address	location	title	web	area	ambs	price_area_ratio
U$S	94000	Cucha Cucha   2600	Paternal, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1230546106-permuta-oferta-ph-4amb-entrada-privada-sin-expensas-_JM#position=9&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	80	4	1175
U$S	93000	Cucha Cucha   2600	Villa Crespo, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1230822551-permuta-oferta-ph-4amb-entrada-privada-sin-expensas-_JM#position=12&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	100	4	930
U$S	89000	Sánchez 1800	Paternal, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1314895517-ph-3-amb-cdep-paternal-frente-sin-exp-permuta-_JM#position=20&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	52	3	1711
U$S	89000	Aguirre  200	Villa Crespo, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1362402535-ph-en-venta-en-vila-crespo-a-refaccionar-_JM#position=11&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	57	4	1561
U$S	87000	Thames 100. Entre Muñecas Y Valentin Virasoro	Villa Crespo, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1214141250-ph-5-amb-entrada-independiente-para-reciclar-_JM#position=5&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	90	5	966
U$S	86500	Aráoz 400	Villa Crespo, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1124931243-venta-ph-3-ambientes-con-2-terraza-villa-crespo-_JM#position=13&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	44	3	1965
U$S	84900	Vera  1300	Villa Crespo, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-883831335-ph-al-frente-4-ambientes-2-banos-_JM#position=4&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	80	4	1061
U$S	82000	Humboldt Y Martinez Rosas -  Ph 4 Amb Con Terraza Propia Y Posibilidad De Construir	Villa Crespo, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1332169087-humboldt-y-martinez-rosas-ph-4-amb-con-terraza-propia-y-posibilidad-de-construir-_JM#position=19&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	58	4	1413
U$S	82000	Humboldt Y Martinez Rosas -  Ph  3 Amb + Escriot Con Terraza Propia	Villa Crespo, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1332149680-humboldt-y-martinez-rosas-ph-3-amb-escrit-con-terraza-propia-_JM#position=10&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	58	3	1413
U$S	79999	Charlone Al 900	Chacarita, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1255239840-ph-2-amb-altillo-sin-expensas-a-reciclar-chacarita-_JM#position=17&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	47	3	1702
U$S	79000	14 De Julio  1286. Entre Giribone Y Alvarez Thomas	Avda., Villa Ortúzar		https://inmueble.mercadolibre.com.ar/MLA-1152334991-ph-en-venta-en-villa-ortuzar-_JM#position=18&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	45	3	1755
U$S	79000	Rojas 1300	Villa Crespo, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1144600571-venta-de-ph-en-villa-crespo-_JM#position=3&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	54	3	1462
U$S	77000	Darwin 900	Villa Crespo, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1294368251-venta-de-ph-3-amb-al-frente-en-villa-crespo-_JM#position=15&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	51	3	1509
U$S	75000	Fragata Presidente Sarmiento 2159	Paternal, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1268368329-oportunidad-ph-paternal-duplica-metros-_JM#position=7&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	75	4	1000
U$S	72000	Raulies   2000	Paternal, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1382814922-45-amb-a-refaccionar-le-brique-propiedades-_JM#position=2&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	85	5	847
U$S	72000	Alejandro Magariños Cervantes 1400	Paternal, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1300921203-venta-ph-3-ambientes-patio-a-reciclar-paternal-_JM#position=8&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	64	3	1125
U$S	71000	Avenida Elcano 4900	Paternal, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1151645408-venta-ph-3-ambientes-paternal-_JM#position=1&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	64	3	1109
U$S	70000	Charlone Al 1200	Colegiales, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1294714133-ph-villa-ortuzar-_JM#position=14&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	49	3	1428
U$S	56000	Camarones 1669. Entre Av Donato Alvarez Y Trelles	Paternal, Capital Federal		https://inmueble.mercadolibre.com.ar/MLA-1315115296-ph-en-venta-en-paternal-_JM#position=6&search_layout=gallery&type=item&tracking_id=25617f9b-d81b-44ff-9fad-354fe206f7fc	41	3	1365
